Make,Model,Year,SRP
Suzuki,APV,2024,743000
Suzuki,Carry,2024,614000
Suzuki,Celerio,2024,708000
Suzuki,Dzire,2024,609000
Suzuki,Ertiga,2024,954000
Suzuki,Jimny,2024,1258000
Suzuki,Jimny,2024,1558000
Suzuki,S-Presso,2024,620000
Suzuki,Swift,2024,989000
Suzuki,XL7,2024,1252000
Ford,Bronco,2024,4998000
Ford,Everest,2024,1799000
Ford,Explorer,2024,3498000
Ford,Mustang,2024,3499000
Ford,Ranger,2024,1249000
Ford,Ranger,2024,2339000
Ford,Territory,2024,1335000
Honda,BR-V,2024,1090000
Honda,Brio,2024,735000
Honda,City,2024,973000
Honda,City,2024,1189000
Honda,Civic,2024,1583000
Honda,Civic,2024,3870000
Honda,CR-V,2024,2100000
Honda,HR-V,2024,1389000
Toyota,Alphard,2024,5085000
Toyota,Avanza,2024,838000
Toyota,Camry,2024,2442000
Toyota,Coaster,2024,4108000
Toyota,Corolla,2024,1135000
Toyota,Corolla,2024,1498000
Toyota,Fortuner,2024,1769000
Toyota,GR,2024,2940000
Toyota,GR86,2024,2615000
Toyota,Hiace,2024,1189000
Toyota,Hiace,2024,2900000
Toyota,Hilux,2024,885000
Toyota,Innova,2024,1261000
Toyota,Land,2024,5390000
Toyota,Land,2024,3665000
Toyota,Lite,2024,645000
Toyota,Raize,2024,751000
Toyota,RAV4,2024,2346000
Toyota,Rush,2024,1202000
Toyota,Supra,2024,5396000
Toyota,Veloz,2024,1092000
Toyota,Vios,2024,732000
Toyota,Wigo,2024,609000
Toyota,Yaris,2024,1204000
Toyota,Zenix,2024,1670000
Hyundai,Creta,2024,1048000
Hyundai,Custin,2024,1770000
Hyundai,Elantra,2024,2738000
Hyundai,H-100,2024,984000
Hyundai,IONIQ,2024,3068000
Hyundai,IONIQ,2024,4250000
Hyundai,IONIQ,2024,3798000
Hyundai,Palisade,2024,3780000
Hyundai,Santa,2024,2410000
Hyundai,Stargazer,2024,1068000
Hyundai,Staria,2024,1560000
Hyundai,Tucson,2024,1680000
Mitsubishi,L300,2024,825000
Mitsubishi,Mirage,2024,711000
Mitsubishi,Mirage,2024,769000
Mitsubishi,Montero,2024,1568000
Mitsubishi,Outlander,2024,2998000
Mitsubishi,Strada,2024,825000
Mitsubishi,Triton,2024,1134000
Mitsubishi,XForce,2024,1367000
Mitsubishi,Xpander,2024,1068000
Mitsubishi,Xpander,2024,1346000
Chevrolet,Camaro,2024,4266888
Chevrolet,Corvette,2024,12571888
Chevrolet,Suburban,2024,8634888
Chevrolet,Tahoe,2024,7702888
Chevrolet,Tracker,2024,1218888
Chevrolet,Trailblazer,2024,1518888
Chevrolet,Trax,2024,1793888
Nissan,Almera,2024,839000
Nissan,GT-R,2024,12445000
Nissan,Kicks,2024,1179000
Nissan,LEAF,2024,1998000
Nissan,Livina,2024,1069000
Nissan,Navara,2024,1115000
Nissan,NV350,2024,1260000
Nissan,Patrol,2024,4758000
Nissan,Terra,2024,1729000
Nissan,Z,2024,3888000
Mazda,2,2024,1250000
Mazda,3,2024,1510000
Mazda,3,2024,1510000
Mazda,6,2024,2150000
Mazda,BT-50,2024,1390000
Mazda,CX-3,2024,1510000
Mazda,CX-30,2024,1995000
Mazda,CX-5,2024,1950000
Mazda,CX-60,2024,2790000
Mazda,CX-8,2024,2390000
